"Timestamp","Ikä?","Sarja johon kirjaudun","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Olen treenannut","Useimmiten treenaan","Kovan treenin ohessa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Uusilla reiteillä seuraan","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Lisäksi haluaisin","Harrastan myös"
"2023/12/29 9:16:36 AM GMT+2","40-50","naiset","1km lenkin;5km lenkin;10km lenkin;puolimaratonin;ultran","neljästi viikossa","2300m","Mäkeä (kävellen/sauvoilla);Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Kaverin puute;Astma joka hidastaa etenemistäni","järjestäjän merkkejä;merkattuja reittejä","En","","Asun Jämsänkoskella, mutta jos aikatauluihin osuu lenkki Muurame-Korpilahti suunnalla, osallistum","omalla autolla","","","17-19;19-21","","","7-10;10-12;12-15;15-17;17-19","7-10;10-12;12-15;15-17;17-19","2 h;2 h 30 min;yli 3 h","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","","Enemmän yhteisiä juoksuvaelluksia","Hiihto;Laskettelu;Lumikenkäily;Maastopyöräily;Maantiepyöräily;Retkeily;Salibändy;Suppailu;Kuntosali"
"2023/12/29 9:17:29 AM GMT+2","40-50","naiset","5km lenkin","kuudesti viikossa","Ei tulosta","Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja;Pyöräillyt juoksun edestä","Kaksin","Lämmittelen lihakset;Jäähdyttely (hölkkä)","nauttia luonnosta;lisätä juoksumatkaa;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa","Ajanpuute;Saimaa Cycle tour 300 km","mobiilikarttaa;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Köhniö;Laajis;Ladun maja;Myllyjärvi;Mäyrämäki;Touruvuori;Vesanka, Ruoke","pyörällä;omalla autolla","","","","","","","10-12","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;intervalleja","kivikkoa;juurakkoa","viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Juoksublogit tai tarinat","Enemmän yhteislenkkejä;Enemmän yhteisiä pitkiksiä","Gravel-pyöräily;Hiihto;Jumppa;Laskettelu;Lumikenkäily;Maastopyöräily;Maantiepyöräily;Retkeily;Suppailu;Uinti"
"2023/12/29 10:18:47 AM GMT+2","20-30","naiset","10km lenkin","seitsemästi viikossa","2100m","Mäkeä juosten ylös;Vetoja;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Käytän hierontapalveluita;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa","polkujuoksu pohjoisessa suomessa","Ajanpuute","järjestäjän merkkejä;merkattuja reittejä","En","","Halssila;Kauramäki;Keljonkangas;Kuokkala;Köhniö;Laajis;Ladun maja;Mäyrämäki;Sippulanniemi","","5-7","","5-7","","5-7","10-12","10-12","1 h;1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää","Ei ole vaikuttanut","","Enemmän tasolenkkejä (eri vauhtiryhmät)","Hiihto;Crossfit "
"2023/12/29 10:20:08 AM GMT+2","30-40","miehet","puolimaratonin","kolmesti viikossa","2700m","Mäkeä (kävellen/sauvoilla);Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja;Hiihto","Yksin","Lämmittelen lihakset;Muistan juoda","kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute","merkattuja reittejä;mobiilikarttaa","En","","Laajis;Ladun maja;Sippulanniemi;Touruvuori","pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","","","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;vetotreenejä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä","viikkoa aiemmin","Ei ole vaikuttanut","","Enemmän yhteisiä pitkiksiä","Hiihto"
"2023/12/29 11:04:18 AM GMT+2","50-60","naiset","1km lenkin;5km lenkin;10km lenkin;puolimaratonin;maratonin;ultran","seitsemästi viikossa","2500m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla;UTMB kisa","En uskalla kulkea uusilla reiteillä yksin;ITRA pisteet tai UTMB-kivet;(UTMB) kisa-arvonnat","järjestäjän merkkejä;merkattuja reittejä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Kaikki, autolla pääsee kauemmas","omalla autolla","17-19","17-19","17-19","17-19","","10-12;12-15","12-15;15-17;17-19","1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Juoksublogit tai tarinat","Enemmän yhteisiä reissuja lähikuntiin;Useammin backyard ultran;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä tunkkausmättöjä;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Hiihto;Jumppa;Tanssi;Uinti;Kuntosali, astangajooga"
"2023/12/29 11:45:08 AM GMT+2","40-50","naiset","maratonin","neljästi viikossa","2600m","Mäkeä juosten ylös;Vetoja;Pitkiksiä;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","HIMOS ESIM","omalla autolla","","","","","","7-10","7-10","2 h","pitkää raastoa;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;JUOKSUVAELLUS OHJATTU SELLAINEN ","Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä juoksuvaelluksia","Maastopyöräily"
"2023/12/29 11:51:01 AM GMT+2","40-50","naiset","ultran","kuudesti viikossa","2200m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä;löytää polulta elämäni rakkaus","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Ajanpuute;Kulkuyhteydet;Laiskuus;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava;minun tasolleni liian nopea","Halssila;Kanavuori;Vaajakoski","juoksen alkulämpät;pyörällä;toisen kyydillä;omalla autolla","17-19","","17-19","","17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","1 h 30 min;2 h;2 h 30 min;yli 3 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Pikkujoulut","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Useammin backyard ultran;Enemmän yhteisiä saunailtoja;Enemmän yhteisiä tunkkausmättöjä","Hiihto;Jumppa;Retkiluistelu;Retkeily;Seikkailu-urheilu"
"2023/12/29 12:35:25 PM GMT+2","40-50","naiset","ultran","seitsemästi viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Nopeaa kävelyä (speed hike);Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus","Määrärahojen puute;Ajanpuute;Kulkuyhteydet;Fyysiset rajoitteet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;olen oman tieni kulkija","En","","Köhniö;Laajis;Ladun maja;Myllyjärvi;Mäyrämäki;Palokka: muut kohteet kuin Touruvuori","Kävelen kohteeseen.","17-19","17-19","19-21","17-19","19-21","12-15;17-19;19-21","12-15;17-19","1 h;1 h 30 min","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua;vain pieniä mäkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","En ole päässyt osallistumaan","Facebook-läppä;Juoksublogit tai tarinat","Yhteislenkkejä mallia ""verkkainen"". Itselläni on niin, että pystyn hyvin suoriutumaan 16-20 km lenkeistäkin ja olen niitä tehnyt omatoimisesti, mutta en tykkää kiirehtiä, kun hyviä luontokohteita näen. Olen tehnyt pitkiä määriä vuoden aikana kilometreinä, mutta vauhti ollut maltillinen.","Jumppa;Retkeily;Uinti;Agility ja tehokas neulominen. 😂"
"2023/12/29 1:24:52 PM GMT+2","20-30","naiset","5km lenkin","yleensä kahdesti viikossa","2100m","Mäkeä juosten ylös;Vetoja;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute","merkattuja reittejä","En","","Halssila;Kanavuori;Kangaslampi;Kauramäki;Keljonkangas;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Leppävesi;Myllyjärvi;Mäyrämäki;Muurame;Nuutti;Sarvenperä;Sippulanniemi;Touruvuori;Vaajakoski;Vesanka, Ruoke;Siellä missä ei ole hirveästi ihmisiä heh","","15-17;17-19","15-17;17-19","15-17;17-19","15-17;17-19","12-15;15-17;17-19","","","30 min;45 min;1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);Laajat treenit olisi jees, jos otetaan kaikki myös huomioon. Mahdollistettaisiin samassa porukassa pysyminen.","helppoa neulaspolkua;vain pieniä mäkiä;rymypätkiä;kivikkoa;juurakkoa","edellisenä päivänä;muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteislenkkejä","Maastopyöräily;Retkeily;Ratsastus"
"2023/12/29 1:56:43 PM GMT+2","30-40","miehet","10km lenkin","yleensä kahdesti viikossa","2700m","Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","","kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin","","Ajanpuute;Laiskuus;Ruuhkavuodet","merkattuja reittejä","En","","","pyörällä;omalla autolla","","","","","","","","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","","","Gravel-pyöräily;Uinti;Lihaskuntotreeni salilla ja muuten"
"2023/12/29 2:05:56 PM GMT+2","40-50","naiset","10km lenkin","neljästi viikossa","2500m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot","Ajanpuute;Kaverin puute","järjestäjän merkkejä;gps-reittiä;mobiilikarttaa","En","","","juoksen alkulämpät;pyörällä;linkillä;omalla autolla","7-10","7-10","17-19","","15-17","12-15","12-15","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;kivikkoa;juurakkoa","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","","Enemmän yhteislenkkejä;Enemmän tasolenkkejä (eri vauhtiryhmät)","Hiihto;Retkeily;Voimaharjoittelu"
"2023/12/29 4:15:43 PM GMT+2","40-50","miehet","1km lenkin","neljästi viikossa","2900m","Alamäkijuoksu;Monipuolisesti eri lajeja","Yksin","","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä;löytää polulta elämäni rakkaus","","Laiskuus;Fyysiset rajoitteet","mobiilikarttaa;paperikarttaa ja kompassia;suuntaa auringosta;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Kuokkala;Sippulanniemi","juoksen alkulämpät;omalla autolla","17-19","17-19","17-19","17-19","17-19","12-15;15-17;17-19","12-15;15-17;17-19","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;nelivetopaikkoja;rymypätkiä","edellisenä päivänä","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Enemmän yhteislenkkejä;Enemmän yhteisiä saunailtoja;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Hiihto;Jumppa;Lumikenkäily;Melonta;Retkiluistelu;Retkeily;Salibändy;Suunnistus"
"2023/12/29 5:42:50 PM GMT+2","30-40","miehet","puolimaratonin","yleensä kahdesti viikossa","2600m","Mäkeä (kävellen/sauvoilla);Pitkiksiä;Peruskestävyyttä","Kaksin","Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Fyysiset rajoitteet","gps-reittiä","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Keskusta;Keljonkangas;Laajis;Ladun maja;Muurame;Sippulanniemi;Touruvuori","juoksen alkulämpät;pyörällä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","","","17-19;19-21","45 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteislenkkejä","Gravel-pyöräily;Hiihto;Kiipeily tai boulderointi;Retkeily"
"2023/12/29 10:15:37 PM GMT+2","30-40","miehet","5km lenkin;10km lenkin;puolimaratonin","kuudesti viikossa","3100m","Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;päästä podiumille","kisaaminen;UTMB kisa","","olen oman tieni kulkija","Joo","liian hidas;liikaa kävelyä","Halssila;Vaajakoski","juoksen alkulämpät","10-12;12-15","10-12;12-15","10-12;12-15","10-12;12-15","10-12;12-15","","12-15","1 h;1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;pitkää raastoa;oksennukseen asti;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","En ole uskaltanut osallistua","Juoksukaverit","Enemmän tasolenkkejä (eri vauhtiryhmät)","Maastopyöräily;Maantiepyöräily;Uinti"
"2023/12/30 12:40:59 PM GMT+2","30-40","miehet","maratonin","seitsemästi viikossa","3300m","Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä","Yksin","Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","kisaaminen","","mobiilikarttaa;suuntaa auringosta","En","","Halssila;Kanavuori;Vaajakoski","","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12","7-10;10-12","1 h 30 min","vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;rymypätkiä","viikkoa aiemmin","Ei ole vaikuttanut","","","Hiihto;Maastopyöräily;Maantiepyöräily;Suunnistus"
"2023/12/30 11:54:11 PM GMT+2","40-50","naiset","puolimaratonin","viidesti viikossa","3000m","Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda","nauttia luonnosta;kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","olen oman tieni kulkija","En","","Köhniö;Laajis;Nuutti;Touruvuori;Vesanka, Ruoke","juoksen alkulämpät;omalla autolla","","17-19","","17-19","","10-12","10-12","1 h;1 h 30 min","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","En ole uskaltanut osallistua","Juoksublogit tai tarinat","","Hiihto;Jumppa;Laskettelu;Kuntosali, crossfit"
"2023/12/31 2:20:56 PM GMT+2","0-20","naiset","puolimaratonin","12 kertaa viikossa","3000m","Mäkeä juosten ylös;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Kulkuyhteydet","merkattuja reittejä","En","","Halssila;Keljonkangas;Kuokkala;Laajis;Ladun maja;Muurame;Vaajakoski","","19-21","19-21","19-21","19-21","19-21","7-10;10-12;12-15;15-17;17-19;19-21","7-10;10-12;12-15;15-17;17-19;19-21","45 min;1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","","","Valjakkourheilu"
"2023/12/31 2:31:27 PM GMT+2","30-40","naiset","puolimaratonin","viidesti viikossa","","Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Kaksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","","Ajanpuute;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Kauramäki;Keskusta;Keljonkangas;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Leppävesi;Myllyjärvi;Mäyrämäki;Touruvuori;Vaajakoski","omalla autolla","","17-19","","","17-19","10-12","10-12","2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;nelivetopaikkoja","muutama päivä aiemmin riittää","Ei ole vaikuttanut","","","Hiihto;Jumppa;Laskettelu;Maastopyöräily;Maantiepyöräily;Suppailu;Uinti"
